provinsi,tahun,jumlah,province,A,B,C,total,convertion_rate,islam,usia_potensial,total_pekerja,aquisition_rate,aquisition_rate_by_age,aquisition_rate_by_occupation
aceh,2022,17554,aceh,2.0,19.0,5.0,26.0,675.1538461538462,5395549,2661966,2798855,0.0032534224042817515,0.006594374233179537,0.006271850453131727
aceh,2023,30505,aceh,2.0,19.0,5.0,26.0,1173.2692307692307,5395549,2661966,2798855,0.005653734216851705,0.011459575366477258,0.010899099810458205
bali,2022,1717,bali,1.0,2.0,,3.0,572.3333333333334,438159,2753004,1502208,0.003918668793748388,0.0006236823484455525,0.001142984193933197
bali,2023,3066,bali,1.0,2.0,,3.0,1022.0,438159,2753004,1502208,0.006997459826227465,0.0011136925336832056,0.002040995654396728
banten,2022,51797,banten,48.0,41.0,7.0,96.0,539.5520833333334,11741044,6977604,6037898,0.004411617910638952,0.007423321816486003,0.008578647734691774
banten,2023,73829,banten,48.0,41.0,7.0,96.0,769.0520833333334,11741044,6977604,6037898,0.006288112028197833,0.01058085268238209,0.012227599737524549
bengkulu,2022,8286,bengkulu,1.0,1.0,,2.0,4143.0,2031035,1114084,874192,0.004079693358312387,0.007437500224399597,0.009478466972930432
bengkulu,2023,5959,bengkulu,1.0,1.0,,2.0,2979.5,2031035,1114084,874192,0.0029339720881225583,0.005348788780738256,0.00681658033933049
daerah istimewa yogyakarta,2022,12950,daerah istimewa yogyakarta,15.0,9.0,4.0,28.0,462.5,3449172,2006043,1541519,0.0037545242742316126,0.006455494722695376,0.008400804660857245
daerah istimewa yogyakarta,2023,19694,daerah istimewa yogyakarta,15.0,9.0,4.0,28.0,703.3571428571429,3449172,2006043,1541519,0.0057097761433758595,0.009817336916506774,0.012775710192349235
dki jakarta,2022,124999,dki jakarta,174.0,274.0,60.0,508.0,246.06102362204723,9520221,6171827,5972368,0.013129842258913947,0.020253160044829514,0.020929554240462073
dki jakarta,2023,210025,dki jakarta,174.0,274.0,60.0,508.0,413.43503937007875,9520221,6171827,5972368,0.022060937450926823,0.0340296317443765,0.03516611836377129
gorontalo,2022,2224,gorontalo,2.0,1.0,,3.0,741.3333333333334,1201801,706675,633816,0.0018505559572674678,0.0031471326989068525,0.0035089047925580927
gorontalo,2023,3278,gorontalo,2.0,1.0,,3.0,1092.6666666666667,1201801,706675,633816,0.0027275730341379313,0.004638624544521881,0.0051718479811175486
jambi,2022,12182,jambi,3.0,3.0,,6.0,2030.3333333333333,3542430,2093640,1736113,0.0034388823491219305,0.005818574348980723,0.00701682436569509
jambi,2023,14488,jambi,3.0,3.0,,6.0,2414.6666666666665,3542430,2093640,1736113,0.004089847929246308,0.006920005349534781,0.008345078920554135
jawa barat,2022,171275,jawa barat,104.0,140.0,10.0,254.0,674.3110236220473,48258553,29889223,26112289,0.0035491118020053356,0.005730326278471675,0.006559172196661886
jawa barat,2023,247667,jawa barat,104.0,140.0,10.0,254.0,975.0669291338583,48258553,29889223,26112289,0.0051320850834462445,0.008286163879201544,0.009484691288458089
jawa tengah,2022,107740,jawa tengah,48.0,27.0,6.0,81.0,1330.1234567901236,36940149,23324645,15545427,0.002916609784113215,0.004619148544382991,0.0069306555554890835
jawa tengah,2023,133901,jawa tengah,48.0,27.0,6.0,81.0,1653.0987654320988,36940149,23324645,15545427,0.003624809418067047,0.005740751895688016,0.008613529882453534
jawa timur,2022,160977,jawa timur,76.0,75.0,5.0,156.0,1031.9038461538462,40338947,27075336,18177268,0.003990609868918988,0.005945521784106391,0.008855951290369929
jawa timur,2023,228151,jawa timur,76.0,75.0,5.0,156.0,1462.5064102564102,40338947,27075336,18177268,0.005655849172265206,0.008426525159281495,0.012551446124907219
kalimantan barat,2022,10246,kalimantan barat,5.0,3.0,,8.0,1280.75,3340259,2898596,2469430,0.003067426807322426,0.0035348147861930398,0.0041491356304896275
kalimantan barat,2023,12655,kalimantan barat,5.0,3.0,,8.0,1581.875,3340259,2898596,2469430,0.003788628366842212,0.004365906804535713,0.005124664396237188
kalimantan selatan,2022,34680,kalimantan selatan,6.0,25.0,9.0,40.0,867.0,4080743,2497313,1993390,0.008498452365169775,0.013886925667707653,0.0173974987333136
kalimantan selatan,2023,45500,kalimantan selatan,6.0,25.0,9.0,40.0,1137.5,4080743,2497313,1993390,0.011149930294556652,0.01821958240717123,0.022825438072830707
kalimantan tengah,2022,8980,kalimantan tengah,1.0,3.0,,4.0,2245.0,2026006,1574660,1177887,0.004432365945609243,0.005702818386191305,0.007623821300345449
kalimantan tengah,2023,12860,kalimantan tengah,1.0,3.0,,4.0,3215.0,2026006,1574660,1177887,0.006347463926562902,0.008166842365971066,0.01091785544793346
kalimantan timur,2022,20071,kalimantan timur,8.0,7.0,5.0,20.0,1003.55,3471115,2255091,1781280,0.0057822918572274324,0.008900306018692815,0.011267740052097368
kalimantan timur,2023,29899,kalimantan timur,8.0,7.0,5.0,20.0,1494.95,3471115,2255091,1781280,0.008613658723493747,0.013258445002884584,0.01678512081200036
kalimantan utara,2022,1288,kalimantan utara,,1.0,,1.0,1288.0,5391,410480,325733,0.23891671304025228,0.0031377899045020464,0.00395415877421078
kalimantan utara,2023,2222,kalimantan utara,,1.0,,1.0,2222.0,5391,410480,325733,0.41216842886291966,0.005413174819723251,0.006821537885323256
kepulauan bangka belitung,2022,5152,kepulauan bangka belitung,,,2.0,2.0,2576.0,1356616,822265,670808,0.0037976848275414706,0.0062656199643667185,0.007680290038282191
